VideoId,Label
ENdl,338 2239 233 39 674 202 207 627 1850 121
gMdl,20 11 22 122 29 886 32 1156 1928 605
4gdl,59 18 15 43 604 374 101 549 2952 906
ERdl,0 167 12 63 1 689 1459 1281 1062 432
mrdl,0 63 167 1 1047 989 183 294 335 447
tZdl,407 157 1 0 481 62 681 203 132 36
DGdl,1675 11 1189 1107 229 368 99 994 3022 817
BIdl,61 49 127 80 578 3575 6 2176 201 418
hGdl,24 21 23 3716 2777 718 3036 115 471 158
urdl,1 0 287 1858 331 192 124 455 106 35
Yydl,176 26 11 728 683 184 511 453 763 839
1idl,33 78 28 86 38 987 257 1088 553 304
lRdl,39 503 50 121 1782 207 933 65 202 931
TWdl,289 2261 2211 9 2626 3042 2023 1238 2937 10
Z1dl,2 7 48 3405 17 891 756 399 177 1029
K2dl,2 51 56 45 7 255 803 104 141 16
XIdl,8 6 383 206 650 894 812 834 31 3
f6dl,13 4 3 54 8 97 6 10 154 539
YWdl,0 1 19 17 575 2115 955 1519 1284 48
Y2dl,3 6 433 944 1356 8 11 1526 414 61
hYdl,0 1 317 124 287 153 1404 1370 180 1804
Oedl,133 325 6 2671 1027 16 8 4 630 816
xfdl,846 1028 8 1199 110 18 383 827 2468 612
oAdl,14 445 581 194 5 293 6 66 441 3
q1dl,12 0 237 675 226 79 19 272 1937 538
JNdl,11 112 20 1798 22 32 472 221 29 625
0Odl,1004 146 1757 3536 158 972 997 1534 2607 2520
5vdl,53 58 232 163 60 340 19 427 17 214
Bqdl,866 11 674 20 39 50 2239 1042 1828 2592
7gdl,412 217 0 215 447 532 81 790 1582 21
KLdl,13 168 4 28 33 38 78 201 164 89
jUdl,195 2992 1046 2911 92 179 2736 885 1069 1100
Lrdl,3 4 13 54 6 97 10 330 1024 168
v3dl,154 263 1074 1001 351 2582 6 4 31 222
9Ydl,33 28 78 38 86 257 1343 910 987 2249
ifdl,183 105 192 1 455 23 73 21 294 424
xsdl,669 511 60 2023 353 519 3229 1452 53 11
Okdl,3551 1 200 1885 0 1623 640 102 134 438
7Rdl,1 0 1691 517 35 337 2765 3207 976 180
Cbdl,201 175 8 164 89 1641 71 13 269 33
9Ndl,8 71 152 383 807 6 812 834 3802 944
KAdl,0 2147 1 5 349 42 25 16 2940 451
mGdl,14 578 2388 61 25 81 28 2308 806 84
Z8dl,191 299 2 2105 446 3555 76 1226 42 44
8Ndl,3 4 10 13 9 33 28 38 31 2144
6Vdl,12 0 1281 63 226 1293 2 2736 3144 237
DPdl,5 16 0 136 1082 3168 3019 2030 3469 1
5bdl,3 6 28 4 944 324 10 1107 9 38
kEdl,20 22 11 32 1156 123 1450 29 2651 462
Ildl,5 301 1268 731 662 0 391 6 2375 1312
pTdl,9 10 37 4 34 2624 2656 840 421 1721
dOdl,8 6 71 1297 225 89 592 1652 812 1295
YVdl,396 141 191 88 184 299 26 2 1803 1197
Rydl,318 19 272 15 17 18 87 1677 262 448
Vkdl,248 419 44 299 191 1289 146 1334 392 667
UUdl,31 47 40 57 4 626 10 3 300 9
vBdl,3 4 6 28 10 9 324 13 38 33
wfdl,251 2361 62 270 867 2 646 1408 2012 1299
gidl,1135 5 0 769 1 759 244 16 2030 139
Lqdl,63 0 336 335 633 1 2717 12 237 91
13dl,15 18 579 67 96 769 789 308 71 152
yVdl,164 13 33 4 28 842 38 175 78 8
KBdl,0 79 1 12 63 448 450 5 91 312
u8dl,6 8 3 558 99 807 911 2380 834 396
T3dl,3 4 6 10 9 13 944 324 34 483
ADdl,2654 1172 0 134 1 2323 9 106 27 997
nBdl,1 0 35 25 2811 1004 1734 2768 478 2765
ahdl,578 61 2308 0 215 93 1 69 234 5
rHdl,89 175 3 201 268 2530 885 3469 12 141
hUdl,2 7 90 1179 792 469 1087 2391 3246 2816
RLdl,763 652 7 2 2065 570 11 26 90 817
fhdl,129 17 19 2 7 841 128 48 792 1167
BTdl,4 14 9 13 10 6 34 3 54 815
CQdl,50 65 390 1500 66 355 493 2327 998 1060
9tdl,5 442 1 16 0 25 379 395 150 204
5xdl,36 1 147 94 0 777 132 25 367 142
yEdl,0 1 69 236 404 2017 193 649 1150 568
wSdl,62 763 341 7 2 652 461 53 11 1634
pidl,29 20 32 22 11 122 173 112 930 604
QFdl,8 71 152 383 6 650 206 812 849 827
Pedl,320 269 410 1 722 3359 1059 61 331 7
GCdl,27 0 255 1 262 150 237 3700 294 247
Vcdl,445 26 581 194 0 466 570 441 354 412
2Tdl,1115 1136 11 22 29 123 20 32 1156 576
DUdl,3 8 6 89 99 237 2746 324 4 1187
Ypdl,126 11 220 291 276 511 1123 112 674 1822
gCdl,51 45 77 2 56 295 212 298 137 1378
rXdl,0 1 12 2 63 336 179 180 192 7
WTdl,24 488 21 2303 23 471 1 183 105 192
TNdl,100 567 161 548 17 1515 1223 333 1103 356
7ldl,76 2 43 446 281 1068 1196 101 227 990
Xkdl,1 16 0 25 1522 1868 1475 2666 983 5
Kpdl,603 15 502 1272 2368 619 8 1376 87 18
XDdl,1 0 851 36 2672 185 153 180 294 2267
fTdl,1731 962 2608 1171 46 700 1600 2250 44 264
Dhdl,9 10 34 4 3271 3596 13 421 1523 6
oTdl,1 0 157 35 481 1063 1370 192 2255 25
1Udl,8 6 558 206 690 894 3 1078 414 806
9Ddl,3 4 13 6 154 10 54 2839 330 9
A1dl,62 90 2 461 7 3362 1346 498 11 1428
oadl,0 1 27 35 1215 192 105 183 535 3072
hJdl,12 0 312 689 696 1424 3144 237 79 806
36dl,9 1847 1508 37 4 10 0 339 2099 2656
4Gdl,2 7 266 283 174 1330 235 361 344 171
Kkdl,0 1 36 142 147 185 153 35 582 16
dLdl,9 10 37 34 4 1830 2261 2582 2624 2996
eNdl,46 848 2 113 44 119 64 501 17 162
sqdl,83 542 2 262 75 601 751 208 7 11
fNdl,11 20 22 122 123 29 2185 1034 462 211
aidl,874 0 52 705 70 2260 432 530 12 806
KKdl,72 68 98 480 452 240 151 980 280 253
8ydl,260 371 1582 215 304 2659 217 21 945 994
bsdl,3 324 1921 6 4 89 668 193 13 675
9ddl,674 21 11 23 39 511 24 131 1159 866
DHdl,5 516 16 362 3038 3717 84 1996 1981 169
U1dl,3 324 61 89 433 675 1036 6 4 1003
DWdl,2298 463 15 96 708 18 1812 16 5 769
nmdl,40 31 57 117 47 626 159 1981 386 744
G8dl,25 1 734 623 0 1051 2623 897 246 354
vTdl,11 123 20 22 32 1163 2488 3417 1016 31
andl,739 1 395 5 0 1033 3303 150 3589 2498
MZdl,1110 282 25 496 27 50 3150 997 1211 3508
bddl,359 62 2 298 780 1747 36 223 1 7
GRdl,5 16 26 2959 326 3151 769 362 1568 15
t7dl,64 186 2 149 7 113 425 488 729 119
rLdl,149 64 656 729 2542 26 2 95 7 902
0rdl,16 2 1100 1 26 189 3479 2010 1424 290
4Bdl,492 31 40 57 117 3376 386 935 2137 2040
g8dl,8 835 61 539 71 1463 846 812 2838 12
kedl,69 1 0 649 5 25 476 417 1710 362
dfdl,49 80 5 265 144 418 127 733 919 2161
OCdl,3 6 237 4 1473 41 136 99 675 10
Q2dl,9 34 10 4 3101 539 840 1644 3271 2624
92dl,3 14 4 13 201 1803 324 89 54 61
endl,4 133 3 13 10 1715 41 31 47 54
tLdl,31 47 40 57 4 386 1589 744 626 309
NVdl,21 23 24 1160 684 73 2892 115 718 758
x5dl,52 0 125 2 7 63 70 354 44 297
Pkdl,227 474 76 2 3555 446 1314 1807 768 1170
14dl,50 65 933 355 503 1527 913 256 1620 781
xHdl,0 1 35 924 1479 768 230 1130 2340 851
ZAdl,210 832 261 161 14 333 353 2117 815 132
srdl,226 1426 1525 0 1380 1233 3523 530 2260 15
bgdl,0 102 241 93 1 449 1654 1802 1359 759
Cjdl,3 6 4 8 1107 14 1189 324 3153 2746
uzdl,70 125 52 0 82 1038 1 675 440 1786
M6dl,60 43 385 2 101 419 1387 1569 182 549
yUdl,311 360 2134 333 1289 299 141 832 746 191
ihdl,191 88 511 667 158 364 276 248 509 220
Pzdl,12 0 118 675 1 52 82 237 103 17
QDdl,49 80 5 265 2098 2161 694 994 127 2830
Qjdl,296 359 2 36 525 186 147 132 366 632
xZdl,151 72 68 98 182 166 3302 392 60 240
l7dl,464 7 2 62 411 1790 1154 17 495 710
V5dl,5 16 2679 1718 2347 597 1481 1374 3723 49
nQdl,320 2 7 316 2563 269 62 197 26 566
kRdl,610 189 1 0 741 16 2842 645 2190 42
lidl,11 406 32 29 1973 191 564 680 22 368
xOdl,21 23 158 24 279 73 1010 115 504 775
fVdl,196 2 7 373 104 165 415 2279 2552 48
ZYdl,113 119 1823 64 46 371 475 465 44 3583
IBdl,12 237 0 675 1937 92 79 3144 1224 272
